country,year,spend
USA,1992,305141
USA,1991,280292
USA,1993,297637
USA,1994,288059
USA,1995,278856
USA,1996,271417
USA,1997,276325
USA,1998,274278
USA,1990,306170
USA,1999,280969
USA,2003,415223
USA,2002,356720
USA,2000,301697
USA,2006,527660
USA,2007,556961
USA,2008,621131
USA,2004,464676
USA,2005,503353
USA,2009,668567
USA,2010,698180
USA,2011,711338
USA,2012,684780
USA,2001,312743
USA,2013,639704
USA,2014,609914
USA,2015,596010
USA,2016,611186
China,1990,10085
China,1991,9954
China,1993,12577
China,1994,10051
China,1992,12420
China,1995,12606
China,1996,14563
China,1997,16105
China,1998,17528
China,1999,21027
China,2001,27875
China,2002,32138
China,2003,35126
China,2004,40353
China,2005,45919
China,2006,55337
China,2007,68012
China,2008,86362
China,2000,22930
China,2009,105644
China,2013,179880
China,2014,200772
China,2015,214093
China,2016,215176
China,2010,115712
Russian Federation,1991,0
Russian Federation,1992,0
China,2011,137967
Russian Federation,1993,7767
China,2012,157390
Russian Federation,1996,15826
Russian Federation,1997,17577
Russian Federation,1990,0
Russian Federation,1995,12742
Russian Federation,1994,13548
Russian Federation,2001,11683
Russian Federation,1998,7956
Russian Federation,1999,6469
Russian Federation,2000,9228
Russian Federation,2003,16974
Russian Federation,2002,13944
Russian Federation,2004,20955
Russian Federation,2006,34518
Russian Federation,2005,27337
Russian Federation,2007,43535
Russian Federation,2009,51532
Russian Federation,2010,58720
Russian Federation,2011,70238
Russian Federation,2008,56184
Russian Federation,2012,81469
Russian Federation,2013,88353
Russian Federation,2014,84697
Russian Federation,2015,66419
Russian Federation,2016,69245
France,1990,42590
France,1991,42703
France,1995,47768
France,1996,46403
France,1997,41308
France,1998,40041
France,1999,38897
France,2000,33814
France,1992,45123
France,1993,42591
France,1994,44393
France,2001,33277
France,2003,45917
France,2002,36404
France,2004,53007
France,2006,54516
France,2005,52909
France,2009,66884
France,2010,61782
France,2008,66009
France,2007,60595
France,2011,64601
France,2014,63614
France,2012,60035
France,2013,62417
UK,1990,38944
UK,1992,40775
France,2016,55745
UK,1993,34086
UK,1994,34494
UK,1995,34248
UK,1996,34491
UK,1997,35675
UK,1998,36866
France,2015,55342
UK,1999,36453
UK,1991,42074
UK,2000,35255
UK,2004,53970
UK,2003,46943
UK,2001,35332
UK,2005,55152
UK,2006,57483
UK,2007,65986
UK,2008,65619
UK,2002,39660
UK,2010,58083
UK,2009,57915
UK,2011,60270
UK,2012,58496
UK,2014,59183
UK,2013,56862
UK,2015,53862
UK,2016,48253
